periodid,area_name,dimname,category,growth_rate,spend_share,growth_contribution
201506,National,age,25-34,0.0487,0.1518,0.0071
201506,National,age,35-44,0.0132,0.1926,0.0025
201506,National,age,45-54,-0.0038,0.2246,-0.0009
201506,National,age,55-64,-0.0184,0.1813,-0.0034
201506,National,age,65+,-0.0292,0.1818,-0.0055
201507,National,age,<25,0.1734,0.0701,0.0106
201507,National,age,25-34,0.0745,0.1541,0.0110
201507,National,age,35-44,0.0335,0.1922,0.0064
201507,National,age,45-54,0.0195,0.2229,0.0044
201507,National,age,55-64,-0.0045,0.1808,-0.0008
201507,National,age,65+,-0.0288,0.1799,-0.0055
201508,National,age,<25,0.1050,0.0739,0.0070
201508,National,age,25-34,0.0374,0.1532,0.0055
201508,National,age,35-44,0.0060,0.1925,0.0011
201508,National,age,45-54,-0.0060,0.2261,-0.0014
201508,National,age,55-64,-0.0309,0.1796,-0.0057
201508,National,age,65+,-0.0465,0.1747,-0.0085
201509,National,age,<25,0.1334,0.0758,0.0090
201509,National,age,25-34,0.0440,0.1551,0.0066
201509,National,age,35-44,0.0103,0.1931,0.0020
201509,National,age,45-54,0.0013,0.2203,0.0003
201509,National,age,55-64,-0.0140,0.1780,-0.0026
201509,National,age,65+,-0.0348,0.1777,-0.0065
201510,National,age,<25,0.1589,0.0763,0.0107
201510,National,age,25-34,0.0640,0.1555,0.0096
201510,National,age,35-44,0.0263,0.1932,0.0051
201510,National,age,45-54,0.0145,0.2198,0.0032
201510,National,age,55-64,-0.0017,0.1778,-0.0003
201510,National,age,65+,-0.0336,0.1774,-0.0063
201511,National,age,<25,0.1099,0.0761,0.0075
201511,National,age,25-34,0.0245,0.1539,0.0037
201511,National,age,35-44,-0.0007,0.1931,-0.0001
201511,National,age,45-54,-0.0121,0.2212,-0.0027
201511,National,age,55-64,-0.0272,0.1786,-0.0050
201511,National,age,65+,-0.0352,0.1771,-0.0064
201512,National,age,<25,0.1585,0.0732,0.0102
201512,National,age,25-34,0.0622,0.1444,0.0086
201512,National,age,35-44,0.0305,0.1889,0.0057
201512,National,age,45-54,0.0142,0.2272,0.0032
201512,National,age,55-64,-0.0061,0.1851,-0.0012
201512,National,age,65+,-0.0266,0.1811,-0.0051
201601,National,age,<25,0.1411,0.0578,0.0073
201601,National,age,25-34,0.0659,0.1557,0.0098
201601,National,age,35-44,0.0271,0.1912,0.0051
201601,National,age,45-54,0.0140,0.2224,0.0031
201601,National,age,55-64,-0.0071,0.1858,-0.0014
201601,National,age,65+,-0.0362,0.1870,-0.0071
201602,National,age,<25,0.1677,0.0675,0.0098
201602,National,age,25-34,0.0590,0.1724,0.0098
201602,National,age,35-44,0.0096,0.1946,0.0019
201602,National,age,45-54,-0.0035,0.2127,-0.0008
201602,National,age,55-64,-0.0130,0.1738,-0.0023
201602,National,age,65+,-0.0187,0.1791,-0.0035
201603,National,age,<25,0.1672,0.0686,0.0098
201603,National,age,25-34,0.0423,0.1680,0.0068
201603,National,age,35-44,-0.0048,0.1919,-0.0009
201603,National,age,45-54,-0.0188,0.2141,-0.0041
201603,National,age,55-64,-0.0288,0.1749,-0.0052
201603,National,age,65+,-0.0350,0.1824,-0.0066
201604,National,age,<25,0.1844,0.0656,0.0103
201604,National,age,25-34,0.0681,0.1664,0.0107
201604,National,age,35-44,0.0138,0.1925,0.0026
201604,National,age,45-54,-0.0066,0.2153,-0.0015
201604,National,age,55-64,-0.0216,0.1771,-0.0040
201604,National,age,65+,-0.0455,0.1831,-0.0088
201605,National,age,<25,0.1155,0.0647,0.0065
201605,National,age,25-34,0.0070,0.1624,0.0011
201605,National,age,35-44,-0.0383,0.1899,-0.0073
201605,National,age,45-54,-0.0529,0.2189,-0.0118
201605,National,age,55-64,-0.0674,0.1798,-0.0125
201605,National,age,65+,-0.0628,0.1844,-0.0119
201606,National,age,<25,0.1499,0.0626,0.0082
201606,National,age,25-34,0.0462,0.1587,0.0070
201606,National,age,35-44,0.0004,0.1882,0.0001
201606,National,age,45-54,-0.0125,0.2210,-0.0028
201606,National,age,55-64,-0.0297,0.1819,-0.0056
201606,National,age,65+,-0.0313,0.1876,-0.0061
201607,National,age,<25,0.1474,0.0648,0.0083
201607,National,age,25-34,0.0575,0.1629,0.0088
201607,National,age,35-44,0.0060,0.1895,0.0011
201607,National,age,45-54,-0.0152,0.2203,-0.0034
201607,National,age,55-64,-0.0359,0.1814,-0.0067
201607,National,age,65+,-0.0590,0.1811,-0.0113
201608,National,age,<25,0.0959,0.0664,0.0057
201608,National,age,25-34,0.0124,0.1568,0.0019
201608,National,age,35-44,-0.0269,0.1865,-0.0050
201608,National,age,45-54,-0.0385,0.2227,-0.0087
201608,National,age,55-64,-0.0498,0.1823,-0.0093
201608,National,age,65+,-0.0313,0.1853,-0.0059
201609,National,age,<25,0.1033,0.0671,0.0062
201609,National,age,25-34,0.0281,0.1608,0.0043
201609,National,age,35-44,-0.0125,0.1896,-0.0024
201609,National,age,45-54,-0.0345,0.2172,-0.0076
201609,National,age,55-64,-0.0453,0.1797,-0.0084
201609,National,age,65+,-0.0421,0.1856,-0.0080
201610,National,age,<25,0.1374,0.0681,0.0082
201610,National,age,25-34,0.0485,0.1624,0.0075
201610,National,age,35-44,0.0044,0.1908,0.0008
201610,National,age,45-54,-0.0209,0.2176,-0.0046
201610,National,age,55-64,-0.0405,0.1788,-0.0075
201610,National,age,65+,-0.0473,0.1822,-0.0090
201611,National,age,<25,0.1320,0.0671,0.0078
201611,National,age,25-34,0.0403,0.1574,0.0061
201611,National,age,35-44,-0.0048,0.1875,-0.0009
201611,National,age,45-54,-0.0251,0.2176,-0.0056
201611,National,age,55-64,-0.0275,0.1818,-0.0051
201611,National,age,65+,-0.0177,0.1885,-0.0034
201612,National,age,<25,0.1581,0.0641,0.0089
201612,National,age,25-34,0.0692,0.1487,0.0098
201612,National,age,35-44,0.0256,0.1858,0.0047
201612,National,age,45-54,0.0000,0.2257,0.0000
201612,National,age,55-64,-0.0171,0.1884,-0.0033
201612,National,age,65+,-0.0310,0.1872,-0.0061
201701,National,age,<25,0.1250,0.0454,0.0050
201701,National,age,25-34,0.0447,0.1598,0.0068
201701,National,age,35-44,-0.0033,0.1884,-0.0006
201701,National,age,45-54,-0.0249,0.2190,-0.0055
201701,National,age,55-64,-0.0384,0.1884,-0.0075
